German,English
hastig,hasty
das Floß,the raft
boxen,to box
schachmatt,checkmate
das Schachspiel,the chess game
das Rätsel,the riddle
jemanden vorstellen,to introduce someone
jemanden mit jemandem bekannt machen,to introduce someone to someone
"sich beratschlagen, jemandem einen Ratschlag geben","""to consult, to give someone advice"""
Zeit vergeuden,to waste time
basteln,to do crafts
sich hinhocken,to squat down
"klatschen, applaudieren","""to clap, to applaud"""
der Applaus,the applause
wahrsagen,to tell fortunes
sich betrinken,to get drunk
die Kneipe,the pub
sich bräunen,to get a tan
grillen,to grill / barbecue
der Grill,the grill
die Holzkohle,the charcoal
das Lagerfeuer,the campfire
das Kreuzworträtsel,the crossword puzzle
der Doppelgänger,the doppelganger / look-alike
die Lotterie,the lottery
die Tragödie,the tragedy
der Clown,the clown
der Filmstar,the movie star
die Show,the show
das Spielcasino,the casino
die Achterbahn,the roller coaster
jemanden herbeirufen,to summon someone
verschenken,to give away
kichern,to giggle
sich etwas einbilden,to imagine something
die heitere Stimmung,the cheerful mood
der Schluck,the sip
der Badeort,the seaside resort
der Windschutz,the windbreak
der Bergsteiger,the mountaineer
die Wanderschuhe,the hiking boots
das Karussell,the carousel
der Genuss,the enjoyment
das Hobby,the hobby
erschrocken,startled
drollig,droll / funny
anständig,decent
tatenlos,inactive
populär,popular
ehrenamtlich,voluntary
albern,silly
der Schal,the scarf
die Ärmel (Pl.),the sleeves (pl.)
die Sandalen (Plural),the sandals (plural)
der Schlafanzug,the pajamas
der Bademantel,the bathrobe
der Reißverschluss,the zipper
die Wäscheleine,the clothesline
das Bügelbrett,the ironing board
der Reinigungsdienst,the cleaning service
das Lätzchen,the bib
die Damenbekleidung,the womenswear
die Kapuze,the hood
das Kopftuch,the headscarf
die Weste,the vest
die Handschuhe,the gloves
die Schuhsohle,the shoe sole
das Muster,the pattern
etwas flicken,to mend something
entfärben,to lose color
gestreift,striped
unverkennbar,unmistakable
etwas unterscheiden,to distinguish something
etwas ändern,to change something
wasserdicht,waterproof
glitzern,to glitter
posieren,to pose
übermäßig,excessive
entzückend,delightful
den Mantel zuknöpfen,to button up the coat
kariert,checked / plaid
ähneln,to resemble
ausbleichen,to fade
durchnässt,soaked
undurchlässig,impermeable
der Brunnen,the fountain / well
die Statue,the statue
das Bildnis,the portrait
die Truhe,the chest
der Ventilator,the fan
die Veranda,the veranda
der Weinkeller,the wine cellar
das Sofa,the sofa
das Schlafsofa,the sofa bed
das Wohnzimmer,the living room
die Gestaltung,the design
die Farbkombination,the color combination
das Laminat,the laminate
das Parkett,the parquet floor
unempfindlich,insensitive
die schräge Wand,the sloping wall
"der Flur, der Korridor","""the hallway, the corridor"""
"der Dachboden, der Dachspeicher","""the attic, the loft"""
der Blumentopf,the flowerpot
die Hängematte,the hammock
die Wickelunterlage,the changing mat
der Kinderstuhl,the high chair
das Babyfon,the baby monitor
der Wasserkocher,the kettle
die Tischdecke,the tablecloth
das Geländer,the railing
der Duschvorhang,the shower curtain
der Stöpsel,the plug
die Fußmatte,the doormat
der Hausbesitzer,the homeowner
der Trend,the trend
das Möbelgeschäft,the furniture store
eine Zeitschrift abonnieren,to subscribe to a magazine
belüften,to ventilate
aufkleben,to stick on
hindurchgehen,to go through
der Einzug,the moving in
eine Wohnung einrichten,to furnish an apartment
entwerfen,to design
inspirieren,to inspire
"Energie sparen, Strom sparen","""to save energy, to save electricity"""
renovieren,to renovate
die Renovierungsarbeiten,the renovation work
"malerisch, pittoresk","""picturesque"""
"bewohnbar, beziehbar","""habitable, ready for occupancy"""
farbenfroh,colorful
das Streichinstrument,the string instrument
die Harfe,the harp
die Glocke,the bell
der Bass,the bass
die Orgel,the organ
das Schlagzeug,the drums
der Schlagzeuger,the drummer
klassische Musik,classical music
trommeln,to drum
die Strophe,the verse
der Refrain,the chorus / refrain
die Aufnahme,the recording
der Ton,the sound
die Tonleiter,the scale (music)
der Akkord,the chord
der Dreiklang,the triad
zeitgenössische Musik,contemporary music
der Dirigent,the conductor
der Chor,the choir
der Kopfhörer,the headphones
das Rauschen,the static noise
ein Album herunterladen,to download an album
ein Lied löschen,to delete a song
die Musik-Noten (Plural),the sheet music (plural)
der Violinschlüssel,the treble clef
der Bassschlüssel,the bass clef
komponieren,to compose
der Komponist,the composer
sich verbeugen,to bow
musikalisch,musical
live,live
kaum hörbar,barely audible
die aufgezeichnete Sendung,the recorded program
das Blasinstrument,the wind instrument
das Saiteninstrument,the stringed instrument
die Saite,the string
die Posaune,the trombone
das Kabel,the cable
das Mikrofon,the microphone
der Lautsprecher,the loudspeaker
der Plattenspieler,the record player
etwas auf den MP3-Player überspielen,to transfer something to the MP3 player
eine Stadt gründen,to found a city
eine Stadt belagern,to besiege a city
auf Zehenspitzen schleichen,to tiptoe
jemandem etwas verheimlichen,to hide something from someone
schweben,to float
den König entthronen,to dethrone the king
hexen,to do magic
zerschmettern,to smash
sich verwandeln,to transform oneself
der Zauberer,the magician
die Fee,the fairy
der Held,the hero
der Zwerg,the dwarf
der Räuber,the robber
der Pirat,the pirate
der Ritter,the knight
die Magd,the maid
der Baron,the baron
der Adlige,the nobleman
der Kaiser,the emperor
der Fürst,the prince
das Ungeheuer,the monster
das Gespenst,the ghost
der Drache,the dragon
der Werwolf,the werewolf
der Galgen,the gallows
Pfeil und Bogen,bow and arrow
der Dolch,the dagger
die Klinge,the blade
die Kanone,the cannon
das Schwert schleifen,to grind the sword
die Sternschnuppe,the shooting star
der Klotz,the block
der Zauberstab,the magic wand
die Marionette,the marionette
der Schatz,the treasure
mittelalterlich,medieval
das Mittelalter,the Middle Ages
"adlig, nobel","""noble"""
der Adel,the nobility
die Krone,the crown
das Wappen,the coat of arms
die Erlösung,the salvation
das Wunder,the miracle
die Entführung,the abduction
die Waldlichtung,the clearing (in a forest)
düster,gloomy
kunterbunt,colorful
eigenwillig,idiosyncratic
bizarr,bizarre
übermenschlich,superhuman
orientalisch,oriental
"mystisch, geheimnisvoll","""mystical, mysterious"""
das Organversagen,the organ failure
der Herzstillstand,the cardiac arrest
der Schlaganfall,the stroke
die Fehlgeburt,the miscarriage
die Entzündung,the inflammation
das Virus,the virus
die Infektion,the infection
der Ausschlag,the rash
der Hautausschlag,the skin rash
das Geschwür,the ulcer
die Thrombose,the thrombosis
die Blasenentzündung,the cystitis
die Tollwut,the rabies
das Sodbrennen,the heartburn
die Karies,the caries / tooth decay
die Bronchitis,the bronchitis
die Leukämie,the leukemia
die Pest,the plague
die Cholera,the cholera
der Typhus,the typhus
die Tuberkulose,the tuberculosis
die Gelbsucht,the jaundice
die Lepra,the leprosy
die Malaria,the malaria
die Syphilis,the syphilis
sich impfen lassen,to get vaccinated
der Impfstoff,the vaccine
die Impfung,the vaccination
resistent,resistant
die Seuche,the epidemic
Blut abnehmen,to take blood
die Vorsorgeuntersuchung,the check-up
der Ultraschall,the ultrasound
zerquetscht,crushed
die Blase am Fuß,the blister on the foot
humpeln,to limp
der Kratzer,the scratch
die Beule,the bump
der Eiter,the pus
das Nasenbluten,the nosebleed
sich eine Sehne zerren,to pull a tendon
sich den Fuß verstauchen,to sprain one's foot
sich vor Schmerzen krümmen,to double up in pain
Mir ist schwindelig.,I feel dizzy.
Höhenangst haben,to be afraid of heights
husten,to cough
der Splitter,the splinter
einen Krampf bekommen,to get a cramp
ein krampflösendes Mittel,an antispasmodic
die Schlaflosigkeit,the insomnia
zittern,to tremble
schwerfällig,clumsy
schlaff,limp
verstört reagieren,to react distraughtly
deprimiert sein,to be depressed
enttäuscht sein,to be disappointed
heulen,to howl / cry
über etwas jammern,to complain about something
hysterisch,hysterical
jucken,to itch
schielen,to squint
der Diabetiker,the diabetic
die Ohnmacht,the faint
buckelig,hunchbacked
vernarben,to scar
erblinden,to go blind
sich erhängen,to hang oneself
verwesen,to decompose
etwas abmildern,to mitigate something
jemanden aufheitern,to cheer someone up
jemanden trösten,to comfort someone
mit jemandem Mitleid haben,to have pity on someone
die Angehörigen verständigen,to inform the relatives
vergeblich,in vain
die Watte,the cotton wool
die Chirurgie,the surgery
das Schlafmittel,the sleeping pill
jemanden betäuben,to anesthetize someone
das Betäubungsmittel,the anesthetic
das Heilmittel,the remedy
das Abführmittel,the laxative
das Beruhigungsmittel,the sedative
das Brechmittel,the emetic
das Gegengift,the antidote
desinfizieren,to disinfect
verspüren,to feel
amputieren,to amputate
den Fuß röntgen,to x-ray the foot
die Spritze,the injection
spritzen,to inject
der Notdienst,the emergency service
der Wirkstoff,the active ingredient
die Nebenwirkungen,the side effects
die Salbe,the ointment
die Droge,the drug
inhalieren,to inhale
das Haschisch,the hashish
in Wasser löslich,soluble in water
die Vene,the vein
die Ader,the blood vessel
die Arterie,the artery
die Eingeweide,the intestines
die Niere,the kidney
das Gedärm,the intestines
der Blinddarm,the appendix
die Galle,the gall
der Harn,the urine
die Gebärmutter,the uterus
die Leber,the liver
die Rippe,the rib
die Milz,the spleen
die Luftröhre,the trachea
die Achselhöhle,the armpit
der Schädel,the skull
der Schnurrbart,the mustache
der Busen,the bosom / breast
die Brustwarzen (Pl.),the nipples (pl.)
der Nabel,the navel
die Wirbelsäule,the spine
der Hoden,the testicle
der Penis,the penis
die Taille,the waist
das Becken (Anatomie),the pelvis (anatomy)
der Po,the bottom
der Schoß,the lap
der Oberschenkel,the thigh
die Kniescheibe,the kneecap
die Leiste (Anatomie),the groin (anatomy)
das Schienbein,the shin
die Ferse,the heel
das Handgelenk,the wrist
die Handfläche,the palm of the hand
die Sinnesorgane,the sensory organs
der Backenknochen,the cheekbone
der Nasenflügel,the wing of the nose
das Nasenloch,the nostril
der Kiefer,the jaw
der Kehlkopf,the larynx
die Zahnlücke,the gap in the teeth
der Speichel,the saliva
das Trommelfell,the eardrum
die Wimper,the eyelash
das Augenlid,the eyelid
die Locke,the lock of hair
die Hautfalte,the skin fold
die Sommersprossen (Pl.),the freckles (pl.)
das Muttermal,the mole
der Pickel,the pimple
das Skelett,the skeleton
das Gelenk,the joint
der Knorpel,the cartilage
die Sehne,the tendon
der Knöchel,the ankle
der Linkshänder,the left-hander
der Daumen,the thumb
der Mittelfinger,the middle finger
der Zeigefinger,the index finger
der kleine Finger,the little finger
der Ringfinger,the ring finger
jemandem die Hand schütteln,to shake someone's hand
die Beine ausstrecken,to stretch one's legs
die Arme ausstrecken,to stretch one's arms
mit dem Auge zwinkern,to wink
die Kontaktlinsen (Plural),the contact lenses (plural)
die Haare färben,to dye the hair
grauhaarig,grey-haired
behaart,hairy
anfassen,to touch
greifen,to grab
gähnen,to yawn
sich schminken,to put on makeup
der Nagellackentferner,the nail polish remover
tätowieren,to tattoo
etwas dehnen,to stretch something
urinieren,to urinate
träumen,to dream
(Gesicht) rot anlaufen,to blush (face)
die Hypnose,the hypnosis
ohnmächtig werden,to pass out
ersticken,to suffocate
schlank sein,to be slim
abmagern,to lose weight
die Luft anhalten,to hold one's breath
den Bauch einziehen,to pull in one's stomach
das Cholesterin,the cholesterol
körperlich,physical
verstorben,deceased
unbeweglich,immobile
lebhaft,lively
abtreiben,to abort
angeboren,congenital
die künstliche Befruchtung,the artificial insemination
die Narbe,the scar
der Schleim,the mucus
die Farbenblindheit,the color blindness
der Fötus,the fetus
der Kinderarzt,the pediatrician
schläfrig,sleepy
sich bewusst sein,to be aware
die Stärke des Muskels,the strength of the muscle
zart,tender
sich prügeln,to fight
die Prügelei,the fight / brawl
der Widersacher,the adversary
streitsüchtig,quarrelsome
zerkratzen,to scratch
zerfetzen,to shred
zerplatzen,to burst
toben,to rage
explodieren,to explode
kneifen,to pinch
die Schlinge,the noose
der Fußtritt,the kick
sich ausrüsten,to equip oneself
die Ausrüstung,the equipment
jemanden auslachen,to laugh at someone
provozieren,to provoke
jemanden mit etwas konfrontieren,to confront someone with something
jemandem auflauern,to lie in wait for someone
jemanden bedrohen,to threaten someone
jemanden belügen,to lie to someone
jemanden demütigen,to humiliate someone
etwas bereuen,to regret something
das Misstrauen,the mistrust
unbesiegbar,invincible
grausam,cruel
die Grausamkeit,the cruelty
opfern,to sacrifice
gnadenlos,merciless
willkürlich,arbitrary
sich fürchten,to be afraid
entsetzlich,terrible
schadenfroh,gloating
unverschämt,insolent
die Unverschämtheit,the insolence
heucheln,to feign / pretend
die Lage verschlechtert sich,the situation worsens
etwas abwenden,to avert something
der Kompromiss,the compromise
die Unterstützung,the support
die Bestechung,the bribery
unbestreitbar,undeniable
Verdammt!,Damn!
Verflixt!,Darn it!
Hurra!,Hurray!
Hau ab!,Go away!
sabbern,to slobber
nörgeln,to nag
saufen,to booze / drink heavily
furzen,to fart
rülpsen,to burp
scheißen,to shit
pinkeln,to piss
besoffen,drunk
klauen,to filch / steal
spotten,to mock
jemanden verspotten,to mock someone
jemanden verfluchen,to curse someone
sich ekeln,to be disgusted
jemanden anlügen,to lie to someone
der Blödsinn,the nonsense
der Schwachsinn,the idiocy
das Sprichwort,the proverb
das Geschwätz,the gossip
die Hure,the whore
der Depp,the idiot
der Arsch,the ass
obszön,obscene
doof,dumb / stupid
widerwärtig,disgusting
eine Familie gründen,to start a family
ein Kind gebären,to give birth to a child
ein Kind stillen,to breastfeed a child
vermehren,to multiply
fruchtbar,fertile
Mama,Mom
Papa,Dad
adoptiert,adopted
der Ernährer,the breadwinner
die Adoptiveltern,the adoptive parents
die Adoption,the adoption
verwaist,orphaned
das Waisenhaus,the orphanage
der Kinderwagen,the stroller
die Wiege (des Babys),the cradle (of the baby)
das Wiegenlied,the lullaby
der Hochstuhl (Kinderstuhl),the high chair (child's chair)
der Schnuller,the pacifier
die Windel,the diaper
der Teddybär,the teddy bear
die Puppe,the doll
der Urgroßvater,the great-grandfather
der Greis,the old man
die Vorfahren (Plural),the ancestors (plural)
der Rentner,the pensioner
der Schwiegervater,the father-in-law
der Halbbruder,the half-brother
jemanden bevormunden,to patronize someone
beaufsichtigen,to supervise
die Aufsicht,the supervision
auf jemanden achten,to watch out for someone
der Bezugspunkt,the point of reference
erziehen,to raise / educate
die gute Erziehung,the good upbringing
zweisprachig,bilingual
homosexuell,homosexual
lesbisch,lesbian
schwul,gay
albern sein,to be silly
die Sehnsucht,the longing / yearning
der Streit in der Familie,the family quarrel
jemanden ärgern,to annoy someone
der Ehebruch,the adultery
seine Frau betrügen,to cheat on one's wife
die Abstammung (der Person),the descent (of a person)
gastfreundlich,hospitable
die Gastfreundschaft,the hospitality
unbesorgt,unworried
das Vertrauen,the trust
verbunden sein,to be connected
liebevoll,loving
geborgen,secure
unbekümmert,untroubled
vertrauenswürdig,trustworthy
gefühlvoll,emotional
die Chronik,the chronicle
die Erbschaftssteuer,the inheritance tax
der Sarg,the coffin
jemanden beerdigen,to bury someone
um jemanden trauern,to mourn someone
die Anteilnahme,the condolence
das Testament,the will
die Trauer,the grief
vererben,to bequeath
enterben,to disinherit
der Unbekannte,the stranger
der Naturschutz,the nature conservation
das Ökosystem,the ecosystem
die Gentechnik,the genetic engineering
die Höhle,the cave
der Stollen,the gallery (in a mine)
die Fackel,the torch
das Echo,the echo
der Vulkan,the volcano
der Krater,the crater
der Hang,the slope
der Felsvorsprung,the ledge
das Beben,the tremor
beben,to tremble
der Weinberg,the vineyard
der Eisberg,the iceberg
die Eiszeit,the ice age
der Gletscher,the glacier
der Dschungel,the jungle
einen Wald roden,to clear a forest
die Abholzung,the deforestation
die Hecke,the hedge
der Busch,the bush
die Pfütze,the puddle
matschig,muddy
die Quelle,the source
das seichte Wasser,the shallow water
einen Fluss verseuchen,to contaminate a river
der Bach,the stream
der Wasserfall,the waterfall
die Brücke überqueren,to cross the bridge
der Leuchtturm,the lighthouse
der Deich,the dike
die Klippe,the cliff
das Korallenriff,the coral reef
der Küstenstreifen,the coastal strip
der zunehmende Mond,the waxing moon
der abnehmende Mond,the waning moon
die Gezeiten,the tides
überfluten,to flood
zufrieren,to freeze over
das Hochdruckgebiet,the high-pressure area
das Tiefdruckgebiet,the low-pressure area
die Luftfeuchtigkeit,the humidity
der Luftdruck,the air pressure
unbeständiges Wetter,unsettled weather
der Orkan,the hurricane
hageln,to hail
flackern,to flicker
krachen,to crash
seitlich,sideways
besiedeln,to settle
die Siedlung,the settlement
"das Armenviertel, der Slum","""the slum"""
das Ghetto,the ghetto
die Schadstoffe (Plural),the pollutants (plural)
die Abenddämmerung,the dusk
der Glaube,the belief
der Zweifel,the doubt
reformieren,to reform
konvertieren,to convert
meditieren,to meditate
anbeten,to worship
predigen,to preach
die Predigt,the sermon
der Weihrauch,the incense
segnen,to bless
die Segnung,the blessing
sich hinknien,to kneel down
jemanden taufen,to baptize someone
die Taufe,the baptism
die Beichte,the confession
fasten,to fast
die Fastenzeit,the Lent
"die Almosen, die Spende","""the alms, the donation"""
die Reue,the remorse
der Schleier,the veil
der Brauch,the custom
der Halbmond,the crescent moon
die Verehrung,the worship
der Altar,the altar
der Papst,the pope
der Bischof,the bishop
der Mönch,the monk
die Nonne,the nun
der Pilger,the pilgrim
der Heilige,the saint
heilig,holy
der Engel,the angel
himmlisch,heavenly
still,quiet
die Ruhe,the silence
das Paradies,the paradise
die Wiedergeburt,the rebirth
die Auferstehung,the resurrection
die Offenbarung,the revelation
die Erleuchtung,the enlightenment
widerstehen,to resist
sündigen,to sin
unfehlbar,infallible
ketzerisch,heretical
die Hölle,the hell
unsterblich,immortal
hoffentlich,hopefully
fromm,pious
andächtig,devout
der Prophet,the prophet
abergläubisch,superstitious
ungläubig,unbelieving
Pfingsten,Pentecost
der Karneval,the carnival
Ägypten,Egypt
Albanien,Albania
Äthiopien,Ethiopia
Australien,Australia
Baskenland,Basque Country
Belgien,Belgium
Bulgarien,Bulgaria
China,China
Dänemark,Denmark
Estland,Estonia
Finnland,Finland
Grönland,Greenland
Großbritannien,Great Britain
Indonesien,Indonesia
Irland,Ireland
Island,Iceland
Israel,Israel
Japan,Japan
Jordanien,Jordan
Katalonien,Catalonia
Korea,Korea
Kroatien,Croatia
Lappland,Lapland
Lettland,Latvia
Litauen,Lithuania
Malaysia,Malaysia
Marokko,Morocco
Mexiko,Mexico
Neuseeland,New Zealand
Niederlande,Netherlands
Norwegen,Norway
Philippinen,Philippines
Polen,Poland
Rumänien,Romania
Schottland,Scotland
Schweden,Sweden
Serbien,Serbia
Slowakei,Slovakia
Slowenien,Slovenia
Tschechien,Czech Republic
Türkei,Turkey
Ungarn,Hungary
Vereinigte Staaten von Amerika,United States of America
Weißrussland,Belarus
Zypern,Cyprus
Afrika,Africa
Asien,Asia
Amerika,America
die Nordsee,the North Sea
die Ostsee,the Baltic Sea
das Mittelmeer,the Mediterranean Sea
der Atlantik,the Atlantic Ocean
der Pazifik,the Pacific Ocean
der Indische Ozean,the Indian Ocean
der Ärmelkanal,the English Channel
der Rhein,the Rhine
die Donau,the Danube
Bayern,Bavaria
Rheinland,Rhineland
Sachsen,Saxony
der Schwarzwald,the Black Forest
die Alpen,the Alps
der Himalaya,the Himalayas
der tropische Regenwald,the tropical rainforest
die Ausdehnung,the expansion
ein Eingeborener,a native
das Abendland,the Western world
das Morgenland,the Orient
arabisch,Arabic
der Nordpol,the North Pole
der Wiederaufbau,the reconstruction
der Widerstandskämpfer,the resistance fighter
der Flüchtling,the refugee
der Tyrann,the tyrant
der Scharfschütze,the sniper
der Heckenschütze,the sniper
die Guerilla,the guerilla
der Rebell,the rebel
der Terrorist,the terrorist
die Vorherrschaft,the supremacy
"die Unterjochung, die Unterdrückung","""the subjugation, the oppression"""
das Verlies,the dungeon
die Zuflucht,the refuge
die Ausgangssperre,the curfew
die Belagerung,the siege
die Folter,the torture
die Verschleppung,the abduction
der Waffenstillstand,the ceasefire
die Hinrichtung,the execution
die Patrouille,the patrol
"das Inferno, die Katastrophe","""the inferno, the catastrophe"""
die Plünderung,the looting
der Hinterhalt,the ambush
das Völkerrecht,the international law
der Bürgerkrieg,the civil war
der Militäreinsatz,the military operation
das Kriegsverbrechen,the war crime
die Massenvernichtungswaffen (Plural),the weapons of mass destruction (plural)
die Aggression,the aggression
die Taktik,the tactic
die humanitäre Hilfe,the humanitarian aid
die Hilfsorganisation,the aid organization
der Friedensprozess,the peace process
die Befreiung,the liberation
der Stacheldraht,the barbed wire
der Scheiterhaufen,the pyre
der Bunker,the bunker
die Pistole,the pistol
die Pistolenkugel,the pistol bullet
der Panzer,the tank
verteidigen,to defend
plündern,to plunder
militärisch siegen,to win militarily
anführen,to lead
spionieren,to spy
die Sklaverei abschaffen,to abolish slavery
abdanken,to abdicate
jemanden rekrutieren,to recruit someone
bombardieren,to bombard
entwaffnen,to disarm
kapitulieren,to surrender
sabotieren,to sabotage
jemanden verraten,to betray someone
desertieren,to desert
abrüsten,to disarm
vertreiben,to expel
schänden,to desecrate
demütigen,to humiliate
auspeitschen,to whip
jemanden verprügeln,to beat someone up
jemanden vertreiben,to expel someone
einen Anschlag verhindern,to prevent an attack
gefährden,to endanger
kriegerisch,belligerent
kriegsähnlich,warlike
abtrünnig sein,to be renegade
tapfer,brave
stationiert sein,to be stationed
sich verteidigen,to defend oneself
das Armaturenbrett,the dashboard
das Autodach,the car roof
das Bremslicht,the brake light
das Bremspedal,the brake pedal
das Handschuhfach,the glove compartment
das Hinterrad,the rear wheel
das Rücklicht,the tail light
das Schiebedach,the sunroof
das Vorderrad,the front wheel
der Airbag,the airbag
der Autohersteller,the car manufacturer
der Autoschlüssel,the car key
der Gurt,the belt
der Kindersitz,the child seat
der Kofferraumdeckel,the trunk lid
der Schaltknüppel,the gear stick
der Scheinwerfer,the headlight
der Sicherheitsgurt,the seat belt
die (Auto)Marke,the (car) brand
die (Auto)Tür,the (car) door
die Anhängerkupplung,the trailer hitch
die Felge,the rim
die Handbremse,the handbrake
die Karosserie,the bodywork
die Kupplung,the clutch
die Nebelschlussleuchte,the rear fog light
die Stereoanlage,the stereo system
die Stoßstange,the bumper
die Windschutzscheibe,the windshield
die Landkarte,the map
Fahren Sie geradeaus und dann links.,Go straight ahead and then left.
Ich möchte zum Bahnhof.,I would like to go to the train station.
Ich suche das Rathaus.,I am looking for the town hall.
Wie komme ich zum Flughafen?,How do I get to the airport?
"Wissen Sie, wo das Museum ist?","""Do you know where the museum is?"""
das Abschleppseil,the tow rope
das Warndreieck,the warning triangle
das Starthilfekabel,the jump leads
der Pannenstreifen,the hard shoulder
der Radschlüssel,the lug wrench
die Notrufsäule,the emergency call box
die Pannenhilfe,the breakdown service
die Radmutter,the lug nut
die Reifenpanne,the flat tire
die Warnblinkanlage einschalten,to switch on the hazard lights
die Warnweste,the high-visibility vest
leuchten,to light up / shine
Er hat einen Platten.,He has a flat tire.
abprallen,to bounce off
aufprallen,to crash into
brennen,to burn
der Einmalhandschuh,the disposable glove
der Notarzt,the emergency doctor
der Schaden,the damage
der Schuldige,the culprit
der Verbandkasten,the first aid kit
die Unfallursache,the cause of the accident
ein Tier überfahren,to run over an animal
schleudern,to skid
sich drehen,to spin
sich überschlagen,to roll over
überrollen,to run over
von der Fahrbahn abkommen,to come off the road
das Frostschutzmittel,the antifreeze
das Kühlwasser,the cooling water
das Scheibenputzmittel,the windscreen washer fluid
der Benzinpreis,the gasoline price
der Reifendruck,the tire pressure
der Reservekanister,the spare can
die Autowaschanlage,the car wash
die Raststätte,the service station
die Selbstbedienung,the self-service
die Zapfsäule,the gas pump
waschen,to wash
aufsperren,to unlock
der Autofahrer,the driver
der Verkehrsfunk,the traffic radio
die Baustelle,the construction site
die Ladung,the load
rasen,to race
rollen,to roll
Gang schalten,to shift gear
das Autohaus,the car dealership
der Mechaniker,the mechanic
der Rost,the rust
die Abgase (Pl),the exhaust fumes (pl)
die Bremsflüssigkeit,the brake fluid
die Hebebühne,the lifting platform
schweißen,to weld
zerkratzen,to scratch
zerkratzt,scratched
Fährt dieser Bus ins Stadtzentrum?,Does this bus go to the city center?
Warum ist das so teuer?,Why is that so expensive?
Was ist das?,What is that?
Wie funktioniert das?,How does that work?
das Blaulicht,the blue light
das Bußgeld,the fine
die Alarmanlage,the alarm system
die Autobahnpolizei,the motorway police
die Sirene,the siren
die Verwarnung,the warning
kontrollieren,to control
das Sammeltaxi,the shared taxi
der Firmenwagen,the company car
der Rabatt,the discount
Wie viel kostet es in die Innenstadt?,How much does it cost to go to the city center?
Wie viel kostet es zum Bahnhof?,How much does it cost to go to the train station?
Wie viel kostet es zum Flughafen?,How much does it cost to go to the airport?
das Auspuffrohr,the exhaust pipe
das Rohr,the pipe
der Auspufftopf,the muffler
der Drehzahlmesser,the rev counter
der Hubraum,the displacement
der Hybridantrieb,the hybrid drive
der Katalysator,the catalytic converter
der Keilriemen,the V-belt
der Luftfilter,the air filter
der Schalthebel,the gear lever
der Verteiler,the distributor
der Zündschlüssel,the ignition key
der Zylinderkopf,the cylinder head
die Aufhängung,the suspension
die Benzinpumpe,the fuel pump
die Drehzahl,the number of revolutions
die Elektrik,the electrics
die Handschaltung,the manual transmission
die Heizung,the heating
die Kardanwelle,the drive shaft
die Kurbelwelle,the crankshaft
die Nockenwelle,the camshaft
die Schaltung,the gear shift
das Cabrio,the convertible
das Dreirad,the tricycle
das Moped,the moped
das Wohnmobil,the motorhome
der Abschleppwagen,the tow truck
der Geländewagen,the off-road vehicle
"der Kombiwagen, der Kombi","""the station wagon, the estate car"""
der Lieferwagen,the delivery van
der Motorroller,the scooter
der Schulbus,the school bus
der Sportwagen,the sports car
der Traktor,the tractor
die Limousine,the sedan
der Erdrutsch,the landslide
der Hagelschaden,the hail damage
die Eisglätte,the black ice
die Hitze,the heat
die Schneeketten,the snow chains
die Straßensperrung,the road closure
schlingern,to swerve
das Verkehrsschild,the traffic sign
der Bahnübergang,the railway crossing
"der Fußgängerüberweg, der Zebrastreifen","""the pedestrian crossing, the zebra crossing"""
der Kreisverkehr,the roundabout
der Mittelstreifen,the median strip
der Seitenstreifen,the shoulder (of a road)
die Auffahrt,the ramp / on-ramp
die Einbahnstraße,the one-way street
die Gegenfahrbahn,the oncoming traffic lane
die linke Spur,the left lane
die mittlere Spur,the middle lane
die rechte Spur,the right lane
die Sackgasse,the cul-de-sac / dead end
die Straßenlaterne,the streetlight
die Straßenmarkierung,the road marking
die Überführung,the overpass
die Unterführung,the underpass
die Verkehrsinsel,the traffic island
einspurig,one-lane
mehrspurig,multi-lane
zweispurig,two-lane
absperren,to cordon off
bewacht,guarded
das Auto abstellen,to park the car
das Halteverbot,the no-parking zone
das Parkhaus,the multi-story car park
der Anwohnerparkplatz,the resident parking
der Behindertenparkplatz,the disabled parking space
der bewachte Parkplatz,the guarded parking lot
der Parkschein,the parking ticket
der Parkwächter,the parking attendant
der Ticketautomat,the ticket machine
die Garage,the garage
die Parkuhr,the parking meter
die Tiefgarage,the underground car park
einparken,to park
Geld einwerfen,to insert money
parken,to park
stehen,to stand
unbewacht,unguarded
der After,the anus
der Hodensack,the scrotum
der Unterschenkel,the lower leg
die Brust,the chest
die Eichel,the glans
die Fußsohle,the sole of the foot
die Gesäßbacke,the buttock
die Klitoris,the clitoris
die Schamhaare,the pubic hair
die Schamlippen,the labia
die Scheide,the vagina
die Wade,the calf
die Zehe,the toe
das Asthma,the asthma
das Ekzem,the eczema
das Herpes,the herpes
das Rheuma,the rheumatism
der Abszess,the abscess
der Bluthochdruck,the high blood pressure
der Brustkrebs,the breast cancer
der Darmkrebs,the colon cancer
der Gallenstein,the gallstone
der Gehirntumor,the brain tumor
der Hautkrebs,the skin cancer
der Herzinfarkt,the heart attack
der Keuchhusten,the whooping cough
der Krebs,the cancer
der Mumps,the mumps
die Akne,the acne
die Arteriosklerose,the arteriosclerosis
die Bulimie,the bulimia
die Depression,the depression
die Diabetes,the diabetes
"die Durchfallerkrankung, der Durchfall","""the diarrheal disease, the diarrhea"""
die Epilepsie,the epilepsy
die Erbkrankheit,the hereditary disease
die Geschlechtskrankheit,the sexually transmitted disease
